Updated,ConfirmedChange,DeathsChange
05/09/2020,0.0,0.0
05/10/2020,0.0,0.0
05/11/2020,0.0,0.0
05/12/2020,0.0,0.0
05/13/2020,0.0,0.0
05/14/2020,0.0,0.0
05/15/2020,0.0,0.0
05/16/2020,0.0,0.0
05/17/2020,0.0,0.0
05/18/2020,0.0,0.0
05/19/2020,0.0,0.0
05/20/2020,0.0,0.0
05/21/2020,0.0,0.0
05/22/2020,0.0,0.0
05/23/2020,0.0,0.0
05/24/2020,0.0,0.0
05/25/2020,1.0,0.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
04/15/2020,0.0,0.0
04/17/2020,0.0,0.0
04/19/2020,0.0,0.0
04/20/2020,0.0,0.0
04/22/2020,0.0,0.0
04/24/2020,0.0,0.0
04/26/2020,0.0,0.0
04/28/2020,0.0,0.0
04/29/2020,0.0,0.0
04/30/2020,0.0,0.0
05/01/2020,0.0,0.0
05/02/2020,0.0,0.0
05/03/2020,0.0,0.0
05/04/2020,0.0,0.0
05/05/2020,0.0,0.0
05/06/2020,0.0,0.0
05/07/2020,1.0,1.0
05/08/2020,0.0,0.0
05/09/2020,0.0,0.0
05/10/2020,0.0,0.0
05/11/2020,0.0,0.0
05/12/2020,1.0,0.0
05/13/2020,0.0,0.0
05/14/2020,0.0,0.0
05/15/2020,0.0,0.0
05/16/2020,0.0,0.0
05/17/2020,0.0,0.0
05/18/2020,0.0,0.0
05/19/2020,0.0,0.0
05/20/2020,0.0,0.0
05/21/2020,0.0,0.0
05/22/2020,0.0,0.0
05/23/2020,0.0,0.0
05/24/2020,0.0,0.0
05/25/2020,2.0,0.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
04/15/2020,0.0,0.0
04/16/2020,16.0,0.0
04/18/2020,2.0,0.0
04/20/2020,2.0,0.0
04/21/2020,3.0,0.0
04/23/2020,8.0,0.0
04/24/2020,8.0,0.0
04/26/2020,2.0,0.0
04/27/2020,3.0,0.0
04/28/2020,1.0,0.0
04/29/2020,1.0,0.0
04/30/2020,4.0,0.0
05/01/2020,4.0,0.0
05/02/2020,2.0,0.0
05/03/2020,2.0,0.0
05/04/2020,2.0,0.0
05/05/2020,2.0,0.0
05/06/2020,3.0,0.0
05/07/2020,12.0,0.0
05/08/2020,4.0,0.0
05/09/2020,4.0,0.0
05/10/2020,4.0,0.0
05/11/2020,4.0,0.0
05/12/2020,4.0,0.0
05/13/2020,5.0,0.0
05/14/2020,5.0,0.0
05/15/2020,5.0,0.0
05/16/2020,5.0,0.0
05/17/2020,5.0,0.0
05/18/2020,5.0,1.0
05/19/2020,9.0,0.0
05/20/2020,9.0,0.0
05/21/2020,9.0,0.0
05/22/2020,9.0,0.0
05/23/2020,9.0,0.0
05/24/2020,10.0,0.0
05/25/2020,10.0,0.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
04/15/2020,0.0,0.0
04/16/2020,15.0,1.0
04/18/2020,6.0,0.0
04/20/2020,6.0,0.0
04/21/2020,3.0,0.0
04/23/2020,2.0,0.0
04/24/2020,3.0,0.0
04/26/2020,7.0,0.0
04/27/2020,7.0,0.0
04/28/2020,10.0,0.0
04/29/2020,14.0,0.0
04/30/2020,12.0,0.0
05/01/2020,12.0,0.0
05/02/2020,7.0,0.0
05/03/2020,8.0,0.0
05/04/2020,8.0,0.0
05/05/2020,8.0,0.0
05/06/2020,7.0,0.0
05/07/2020,19.0,4.0
05/08/2020,8.0,0.0
05/09/2020,8.0,0.0
05/10/2020,9.0,0.0
05/11/2020,9.0,0.0
05/12/2020,9.0,1.0
05/13/2020,6.0,0.0
05/14/2020,6.0,0.0
05/15/2020,6.0,0.0
05/16/2020,6.0,0.0
05/17/2020,6.0,0.0
05/18/2020,6.0,0.0
05/19/2020,21.0,0.0
05/20/2020,21.0,0.0
05/21/2020,22.0,0.0
05/22/2020,22.0,0.0
05/23/2020,22.0,0.0
05/24/2020,22.0,0.0
05/25/2020,22.0,0.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
04/15/2020,0.0,0.0
04/16/2020,52.0,0.0
04/18/2020,34.0,0.0
04/20/2020,35.0,1.0
04/21/2020,31.0,0.0
04/23/2020,26.0,0.0
04/24/2020,27.0,0.0
04/26/2020,10.0,0.0
04/27/2020,11.0,0.0
04/28/2020,38.0,0.0
04/29/2020,15.0,0.0
04/30/2020,12.0,0.0
05/01/2020,13.0,1.0
05/02/2020,11.0,0.0
05/03/2020,11.0,0.0
05/04/2020,11.0,0.0
05/05/2020,12.0,9.0
05/06/2020,7.0,2.0
05/07/2020,83.0,0.0
05/08/2020,19.0,0.0
05/09/2020,19.0,0.0
05/10/2020,19.0,0.0
05/11/2020,20.0,0.0
05/12/2020,20.0,3.0
05/13/2020,6.0,0.0
05/14/2020,6.0,0.0
05/15/2020,7.0,0.0
05/16/2020,7.0,0.0
05/17/2020,7.0,0.0
05/18/2020,7.0,1.0
05/19/2020,10.0,0.0
05/20/2020,10.0,0.0
05/21/2020,10.0,0.0
05/22/2020,10.0,0.0
05/23/2020,11.0,0.0
05/24/2020,11.0,0.0
05/25/2020,11.0,4.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
04/15/2020,0.0,0.0
04/16/2020,10.0,0.0
04/18/2020,0.0,0.0
04/20/2020,15.0,1.0
04/21/2020,5.0,1.0
04/23/2020,5.0,0.0
04/24/2020,5.0,0.0
04/26/2020,3.0,0.0
04/27/2020,4.0,0.0
04/29/2020,3.0,0.0
04/30/2020,3.0,0.0
05/01/2020,4.0,0.0
05/02/2020,2.0,0.0
05/03/2020,2.0,0.0
05/04/2020,2.0,0.0
05/05/2020,2.0,1.0
05/06/2020,1.0,0.0
05/07/2020,2.0,0.0
05/08/2020,1.0,0.0
05/09/2020,1.0,0.0
05/10/2020,1.0,0.0
05/11/2020,1.0,0.0
05/12/2020,2.0,0.0
05/13/2020,0.0,0.0
05/14/2020,0.0,0.0
05/15/2020,0.0,0.0
05/16/2020,1.0,0.0
05/17/2020,1.0,0.0
05/18/2020,1.0,0.0
05/19/2020,1.0,0.0
05/20/2020,1.0,0.0
05/21/2020,1.0,0.0
05/22/2020,1.0,0.0
05/23/2020,2.0,0.0
05/24/2020,2.0,0.0
05/25/2020,2.0,0.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
04/15/2020,0.0,0.0
04/16/2020,13.0,0.0
04/18/2020,17.0,0.0
04/20/2020,17.0,0.0
04/21/2020,20.0,0.0
04/23/2020,4.0,0.0
04/24/2020,5.0,0.0
04/26/2020,6.0,0.0
04/27/2020,7.0,0.0
04/28/2020,1.0,1.0
04/29/2020,6.0,0.0
04/30/2020,5.0,0.0
05/01/2020,5.0,0.0
05/02/2020,6.0,0.0
05/03/2020,6.0,0.0
05/04/2020,6.0,0.0
05/05/2020,7.0,0.0
05/06/2020,1.0,0.0
05/07/2020,6.0,0.0
05/08/2020,7.0,0.0
05/09/2020,7.0,0.0
05/10/2020,8.0,0.0
05/11/2020,8.0,0.0
05/12/2020,8.0,0.0
05/13/2020,5.0,0.0
05/14/2020,5.0,0.0
05/15/2020,5.0,0.0
05/16/2020,5.0,0.0
05/17/2020,6.0,0.0
05/18/2020,6.0,0.0
05/19/2020,4.0,0.0
05/20/2020,4.0,0.0
05/21/2020,4.0,0.0
05/22/2020,4.0,0.0
05/23/2020,4.0,0.0
05/24/2020,5.0,0.0
05/25/2020,5.0,0.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
04/15/2020,0.0,0.0
04/16/2020,5.0,0.0
04/18/2020,0.0,0.0
04/20/2020,1.0,0.0
04/21/2020,1.0,0.0
04/23/2020,0.0,0.0
04/24/2020,0.0,0.0
04/26/2020,0.0,0.0
04/27/2020,1.0,0.0
04/29/2020,0.0,0.0
04/30/2020,0.0,0.0
05/01/2020,0.0,0.0
05/02/2020,0.0,0.0
05/03/2020,0.0,0.0
05/04/2020,0.0,0.0
05/05/2020,1.0,0.0
05/06/2020,9.0,0.0
05/07/2020,0.0,0.0
05/08/2020,0.0,0.0
05/09/2020,0.0,0.0
05/10/2020,0.0,0.0
05/11/2020,0.0,0.0
05/12/2020,0.0,0.0
05/13/2020,0.0,0.0
05/14/2020,0.0,0.0
05/15/2020,0.0,0.0
05/16/2020,0.0,0.0
05/17/2020,0.0,0.0
05/18/2020,4.0,0.0
05/19/2020,0.0,0.0
05/20/2020,0.0,0.0
05/21/2020,0.0,0.0
05/22/2020,0.0,0.0
05/23/2020,0.0,0.0
05/24/2020,0.0,0.0
05/25/2020,0.0,1.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
04/15/2020,0.0,0.0
04/16/2020,3.0,0.0
04/18/2020,0.0,0.0
04/20/2020,3.0,1.0
04/22/2020,0.0,0.0
04/24/2020,2.0,0.0
04/26/2020,0.0,0.0
04/27/2020,2.0,0.0
04/29/2020,1.0,1.0
04/30/2020,0.0,0.0
05/01/2020,0.0,0.0
05/02/2020,0.0,0.0
05/03/2020,0.0,0.0
05/04/2020,0.0,0.0
05/05/2020,6.0,2.0
05/06/2020,0.0,0.0
05/07/2020,3.0,0.0
05/08/2020,0.0,0.0
05/09/2020,0.0,0.0
05/10/2020,0.0,0.0
05/11/2020,0.0,0.0
05/12/2020,3.0,0.0
05/13/2020,0.0,0.0
05/14/2020,0.0,0.0
05/15/2020,0.0,0.0
05/16/2020,0.0,0.0
05/17/2020,0.0,0.0
05/18/2020,2.0,0.0
05/19/2020,0.0,0.0
05/20/2020,0.0,0.0
05/21/2020,0.0,0.0
05/22/2020,0.0,0.0
05/23/2020,0.0,0.0
05/24/2020,0.0,0.0
05/25/2020,6.0,0.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
04/15/2020,0.0,0.0
04/17/2020,0.0,0.0
04/19/2020,0.0,0.0
04/21/2020,0.0,0.0
04/23/2020,0.0,0.0
04/25/2020,0.0,0.0
04/27/2020,0.0,0.0
04/29/2020,0.0,0.0
04/30/2020,0.0,0.0
05/01/2020,0.0,0.0
05/02/2020,0.0,0.0
05/03/2020,0.0,0.0
05/04/2020,0.0,0.0
05/05/2020,0.0,0.0
05/06/2020,1.0,0.0
05/07/2020,0.0,0.0
05/08/2020,0.0,0.0
05/09/2020,0.0,0.0
05/10/2020,0.0,0.0
05/11/2020,0.0,0.0
05/12/2020,1.0,0.0
05/13/2020,0.0,0.0
05/14/2020,0.0,0.0
05/15/2020,0.0,0.0
05/16/2020,0.0,0.0
05/17/2020,0.0,0.0
05/18/2020,0.0,0.0
05/19/2020,0.0,0.0
05/20/2020,0.0,0.0
05/21/2020,0.0,0.0
05/22/2020,0.0,0.0
05/23/2020,0.0,0.0
05/24/2020,0.0,0.0
05/25/2020,1.0,0.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
04/15/2020,0.0,0.0
04/16/2020,4.0,0.0
04/18/2020,0.0,0.0
04/20/2020,5.0,0.0
04/21/2020,1.0,0.0
04/23/2020,0.0,0.0
04/24/2020,2.0,0.0
04/26/2020,0.0,0.0
04/27/2020,6.0,0.0
04/28/2020,4.0,0.0
04/29/2020,2.0,0.0
04/30/2020,0.0,0.0
05/01/2020,6.0,0.0
05/02/2020,1.0,0.0
05/03/2020,1.0,0.0
05/04/2020,2.0,0.0
05/05/2020,2.0,0.0
05/06/2020,1.0,0.0
05/07/2020,6.0,0.0
05/08/2020,2.0,0.0
05/09/2020,2.0,0.0
05/10/2020,2.0,0.0
05/11/2020,2.0,0.0
05/12/2020,2.0,1.0
05/13/2020,1.0,0.0
05/14/2020,1.0,0.0
05/15/2020,1.0,0.0
05/16/2020,2.0,0.0
05/17/2020,2.0,0.0
05/18/2020,2.0,1.0
05/19/2020,2.0,0.0
05/20/2020,2.0,0.0
05/21/2020,2.0,0.0
05/22/2020,2.0,0.0
05/23/2020,2.0,0.0
05/24/2020,2.0,0.0
05/25/2020,2.0,0.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
04/15/2020,0.0,0.0
04/16/2020,25.0,0.0
04/18/2020,12.0,0.0
04/20/2020,13.0,1.0
04/21/2020,23.0,0.0
04/23/2020,9.0,0.0
04/24/2020,10.0,2.0
04/26/2020,6.0,0.0
04/27/2020,7.0,2.0
04/28/2020,7.0,0.0
04/29/2020,8.0,0.0
